Year,Driver,Stint,LapNumber,Compound,LapTimeSeconds,TrackStatus,PitInTime,PitOutTime
2021,GAS,1.0,2.0,HARD,92.814,1,,
2021,GAS,1.0,3.0,HARD,91.533,1,,
2021,GAS,1.0,4.0,HARD,91.439,1,,
2021,GAS,1.0,5.0,HARD,91.367,1,,
2021,GAS,1.0,6.0,HARD,90.786,1,,
2021,GAS,1.0,7.0,HARD,90.757,1,,
2021,GAS,1.0,8.0,HARD,91.135,1,,
2021,GAS,1.0,9.0,HARD,91.365,1,,
2021,GAS,1.0,10.0,HARD,90.88,1,,
2021,GAS,1.0,11.0,HARD,90.726,1,,
2021,GAS,1.0,12.0,HARD,90.547,1,,
2021,GAS,1.0,13.0,HARD,90.408,1,,
2021,GAS,1.0,14.0,HARD,90.641,1,,
2021,GAS,1.0,15.0,HARD,90.686,1,,
2021,GAS,1.0,16.0,HARD,90.629,1,,
2021,GAS,1.0,17.0,HARD,90.744,1,,
2021,GAS,1.0,18.0,HARD,90.725,1,,
2021,GAS,1.0,19.0,HARD,90.475,1,,
2021,GAS,1.0,20.0,HARD,89.954,1,,
2021,GAS,1.0,21.0,HARD,89.652,1,,
2021,GAS,1.0,22.0,HARD,89.757,1,,
2021,GAS,1.0,23.0,HARD,89.607,1,,
2021,GAS,1.0,24.0,HARD,89.646,1,,
2021,GAS,1.0,25.0,HARD,90.146,12,,
2021,GAS,1.0,26.0,HARD,89.448,21,,
2021,GAS,1.0,27.0,HARD,89.606,1,,
2021,GAS,1.0,28.0,HARD,89.307,1,,
2021,GAS,1.0,29.0,HARD,89.13,1,,
2021,GAS,1.0,30.0,HARD,89.177,1,,
2021,GAS,1.0,31.0,HARD,89.301,1,,
2021,GAS,1.0,32.0,HARD,89.076,1,,
2021,GAS,1.0,33.0,HARD,89.165,1,,
2021,GAS,1.0,34.0,HARD,88.998,1,,
2021,GAS,2.0,38.0,MEDIUM,89.559,1,,
2021,GAS,2.0,39.0,MEDIUM,89.017,1,,
2021,GAS,2.0,40.0,MEDIUM,89.012,1,,
2021,GAS,2.0,41.0,MEDIUM,88.385,1,,
2021,GAS,2.0,42.0,MEDIUM,88.454,1,,
2021,GAS,2.0,43.0,MEDIUM,88.09,1,,
2021,GAS,2.0,44.0,MEDIUM,88.071,1,,
2021,GAS,2.0,45.0,MEDIUM,87.87,1,,
2021,GAS,2.0,46.0,MEDIUM,87.726,1,,
2021,GAS,2.0,47.0,MEDIUM,87.699,1,,
2021,GAS,2.0,48.0,MEDIUM,87.567,1,,
2021,GAS,2.0,49.0,MEDIUM,87.342,1,,
2021,GAS,2.0,50.0,MEDIUM,87.424,1,,
2021,GAS,2.0,51.0,MEDIUM,87.442,1,,
2021,GAS,3.0,58.0,SOFT,88.344,1,,
2021,PER,1.0,2.0,SOFT,89.507,1,,
2021,PER,1.0,3.0,SOFT,89.273,1,,
2021,PER,1.0,4.0,SOFT,88.902,1,,
2021,PER,1.0,5.0,SOFT,89.249,1,,
2021,PER,1.0,6.0,SOFT,89.239,1,,
2021,PER,1.0,7.0,SOFT,89.022,1,,
2021,PER,1.0,8.0,SOFT,88.94,1,,
2021,PER,1.0,9.0,SOFT,89.063,1,,
2021,PER,1.0,10.0,SOFT,88.937,1,,
2021,PER,1.0,11.0,SOFT,88.886,1,,
2021,PER,1.0,12.0,SOFT,89.165,1,,
2021,PER,1.0,13.0,SOFT,89.267,1,,
2021,PER,1.0,14.0,SOFT,89.392,1,,
2021,PER,1.0,15.0,SOFT,89.581,1,,
2021,PER,1.0,16.0,SOFT,89.683,1,,
2021,PER,1.0,17.0,SOFT,89.967,1,,
2021,PER,1.0,18.0,SOFT,90.588,1,,
2021,PER,1.0,19.0,SOFT,91.034,1,,
2021,PER,1.0,20.0,SOFT,94.359,1,,
2021,PER,2.0,23.0,HARD,88.513,1,,
2021,PER,2.0,24.0,HARD,88.605,1,,
2021,PER,2.0,25.0,HARD,87.725,12,,
2021,PER,2.0,26.0,HARD,88.313,21,,
2021,PER,2.0,27.0,HARD,88.051,1,,
2021,PER,2.0,28.0,HARD,87.962,1,,
2021,PER,2.0,29.0,HARD,87.978,1,,
2021,PER,2.0,30.0,HARD,88.339,1,,
2021,PER,2.0,31.0,HARD,87.95,1,,
2021,PER,2.0,32.0,HARD,87.82,1,,
2021,PER,2.0,33.0,HARD,87.96,1,,
2021,PER,2.0,34.0,HARD,87.306,1,,
2021,PER,2.0,35.0,HARD,87.423,1,,
2021,PER,3.0,38.0,HARD,86.75,1,,
2021,PER,3.0,39.0,HARD,86.58,1,,
2021,PER,3.0,40.0,HARD,86.643,1,,
2021,PER,3.0,41.0,HARD,86.661,1,,
2021,PER,3.0,42.0,HARD,87.04,1,,
2021,PER,3.0,43.0,HARD,86.596,1,,
2021,PER,3.0,44.0,HARD,86.914,1,,
2021,PER,3.0,45.0,HARD,88.217,1,,
2021,PER,3.0,46.0,HARD,87.028,1,,
2021,PER,3.0,47.0,HARD,86.642,1,,
2021,PER,3.0,48.0,HARD,86.429,1,,
2021,PER,3.0,49.0,HARD,86.507,1,,
2021,PER,3.0,50.0,HARD,86.428,1,,
2021,PER,3.0,51.0,HARD,86.419,1,,
2021,PER,3.0,52.0,HARD,86.529,1,,
2021,ALO,1.0,2.0,HARD,92.422,1,,
2021,ALO,1.0,3.0,HARD,91.511,1,,
2021,ALO,1.0,4.0,HARD,91.321,1,,
2021,ALO,1.0,5.0,HARD,91.339,1,,
2021,ALO,1.0,6.0,HARD,90.92,1,,
2021,ALO,1.0,7.0,HARD,90.811,1,,
2021,ALO,1.0,8.0,HARD,91.052,1,,
2021,ALO,1.0,9.0,HARD,90.99,1,,
2021,ALO,1.0,10.0,HARD,90.989,1,,
2021,ALO,1.0,11.0,HARD,90.577,1,,
2021,ALO,1.0,12.0,HARD,90.535,1,,
2021,ALO,1.0,13.0,HARD,90.488,1,,
2021,ALO,1.0,14.0,HARD,90.842,1,,
2021,ALO,1.0,15.0,HARD,90.817,1,,
2021,ALO,1.0,16.0,HARD,90.648,1,,
2021,ALO,1.0,17.0,HARD,90.93,1,,
2021,ALO,1.0,18.0,HARD,90.574,1,,
2021,ALO,1.0,19.0,HARD,90.331,1,,
2021,ALO,1.0,20.0,HARD,90.024,1,,
2021,ALO,1.0,21.0,HARD,89.633,1,,
2021,ALO,1.0,22.0,HARD,89.899,1,,
2021,ALO,1.0,23.0,HARD,89.593,1,,
2021,ALO,1.0,24.0,HARD,89.667,1,,
2021,ALO,1.0,25.0,HARD,89.527,12,,
2021,ALO,1.0,26.0,HARD,89.527,21,,
2021,ALO,1.0,27.0,HARD,89.379,1,,
2021,ALO,1.0,28.0,HARD,89.312,1,,
2021,ALO,1.0,29.0,HARD,89.074,1,,
2021,ALO,1.0,30.0,HARD,89.378,1,,
2021,ALO,1.0,31.0,HARD,89.314,1,,
2021,ALO,1.0,32.0,HARD,89.165,1,,
2021,ALO,1.0,33.0,HARD,89.13,1,,
2021,ALO,1.0,34.0,HARD,88.931,1,,
2021,ALO,2.0,38.0,MEDIUM,90.132,1,,
2021,ALO,2.0,39.0,MEDIUM,88.811,1,,
2021,ALO,2.0,40.0,MEDIUM,89.256,1,,
2021,ALO,2.0,41.0,MEDIUM,90.486,1,,
2021,ALO,2.0,42.0,MEDIUM,89.43,1,,
2021,ALO,2.0,43.0,MEDIUM,88.946,1,,
2021,ALO,2.0,44.0,MEDIUM,89.07,1,,
2021,ALO,2.0,45.0,MEDIUM,89.019,1,,
2021,ALO,2.0,46.0,MEDIUM,88.762,1,,
2021,ALO,2.0,47.0,MEDIUM,89.126,1,,
2021,ALO,2.0,48.0,MEDIUM,89.827,1,,
2021,ALO,2.0,49.0,MEDIUM,88.564,1,,
2021,ALO,2.0,50.0,MEDIUM,89.325,1,,
2021,ALO,2.0,51.0,MEDIUM,88.424,1,,
2021,ALO,2.0,58.0,MEDIUM,87.607,1,,
2021,LEC,1.0,2.0,SOFT,91.14,1,,
2021,LEC,1.0,3.0,SOFT,90.91,1,,
2021,LEC,1.0,4.0,SOFT,90.509,1,,
2021,LEC,1.0,5.0,SOFT,90.63,1,,
2021,LEC,1.0,6.0,SOFT,90.586,1,,
2021,LEC,1.0,7.0,SOFT,90.32,1,,
2021,LEC,1.0,8.0,SOFT,90.372,1,,
2021,LEC,1.0,9.0,SOFT,90.104,1,,
2021,LEC,1.0,10.0,SOFT,90.268,1,,
2021,LEC,1.0,11.0,SOFT,89.996,1,,
2021,LEC,1.0,12.0,SOFT,90.381,1,,
2021,LEC,1.0,13.0,SOFT,90.323,1,,
2021,LEC,1.0,14.0,SOFT,92.05,1,,
2021,LEC,2.0,17.0,HARD,89.408,1,,
2021,LEC,2.0,18.0,HARD,89.283,1,,
2021,LEC,2.0,19.0,HARD,89.641,1,,
2021,LEC,2.0,20.0,HARD,89.493,1,,
